
> rafiky-frontend@0.1.0 dev
> next dev

▲ Next.js 16.3.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.8.6:3000
- Environments: .env.local
✓ Ready in 1824ms
✓ Running next.config.ts took 73ms

 POST /en/sign-up 200 in 2.8s (next.js: 1413ms, proxy.ts: 225ms, generate-params: 837ms, application-code: 315ms)
 GET /en 200 in 781ms (next.js: 251ms, proxy.ts: 9ms, generate-params: 466ms, application-code: 54ms)
 GET /en/login?callbackUrl=%2Fen%2Fstudent%2Ftoday 200 in 601ms (next.js: 68ms, proxy.ts: 6ms, generate-params: 453ms, application-code: 73ms)
 POST /en/login?callbackUrl=%2Fen%2Fstudent%2Ftoday 303 in 317ms (next.js: 4ms, proxy.ts: 5ms, generate-params: 10ms, application-code: 298ms)
 GET /en/student/today 200 in 746ms (next.js: 72ms, proxy.ts: 16ms, generate-params: 438ms, application-code: 219ms)
 POST /en/sign-up 200 in 111ms (next.js: 30ms, proxy.ts: 5ms, generate-params: 10ms, application-code: 65ms)
 POST /en/student/today 303 in 55ms (next.js: 6ms, proxy.ts: 14ms, generate-params: 7ms, application-code: 28ms)
 GET /en/login 200 in 68ms (next.js: 4ms, proxy.ts: 4ms, generate-params: 8ms, application-code: 52ms)
 POST /en/login 303 in 237ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 15ms, application-code: 205ms)
 GET /en/onboarding 200 in 551ms (next.js: 58ms, proxy.ts: 7ms, generate-params: 424ms, application-code: 61ms)
 GET /en/teacher/today 200 in 672ms (next.js: 51ms, proxy.ts: 6ms, generate-params: 456ms, application-code: 159ms)
 POST /en/sign-up 200 in 103ms (next.js: 7ms, proxy.ts: 11ms, generate-params: 15ms, application-code: 71ms)
 GET /en/teacher/today 200 in 133ms (next.js: 5ms, proxy.ts: 10ms, generate-params: 8ms, application-code: 109ms)
 POST /en/sign-up 200 in 101ms (next.js: 8ms, proxy.ts: 6ms, generate-params: 28ms, application-code: 58ms)
 GET /en/teacher/today 200 in 163ms (next.js: 4ms, proxy.ts: 15ms, generate-params: 17ms, application-code: 126ms)
 POST /en/sign-up 200 in 91ms (next.js: 7ms, proxy.ts: 9ms, generate-params: 10ms, application-code: 64ms)
 GET /en/teacher/today 200 in 149ms (next.js: 8ms, proxy.ts: 20ms, generate-params: 13ms, application-code: 108ms)
 GET /en/teacher/today 200 in 158ms (next.js: 10ms, proxy.ts: 20ms, generate-params: 15ms, application-code: 114ms)
 POST /en/sign-up 200 in 86ms (next.js: 4ms, proxy.ts: 7ms, generate-params: 12ms, application-code: 63ms)
 GET /en/teacher/today 200 in 154ms (next.js: 7ms, proxy.ts: 19ms, generate-params: 12ms, application-code: 116ms)
 POST /en/sign-up 200 in 92ms (next.js: 4ms, proxy.ts: 6ms, generate-params: 11ms, application-code: 70ms)
 POST /en/sign-up 200 in 129ms (next.js: 41ms, proxy.ts: 6ms, generate-params: 16ms, application-code: 67ms)
 GET /en/teacher/today 200 in 165ms (next.js: 23ms, proxy.ts: 11ms, generate-params: 17ms, application-code: 114ms)
 POST /en/sign-up 200 in 94ms (next.js: 5ms, proxy.ts: 7ms, generate-params: 17ms, application-code: 66ms)
 GET /en/teacher/today 200 in 147ms (next.js: 4ms, proxy.ts: 6ms, generate-params: 9ms, application-code: 128ms)
 POST /en/sign-up 200 in 92ms (next.js: 6ms, proxy.ts: 6ms, generate-params: 14ms, application-code: 67ms)
 GET /en/teacher/today 200 in 436ms (next.js: 10ms, proxy.ts: 18ms, generate-params: 21ms, application-code: 387ms)
 GET /en/teacher/today 200 in 158ms (next.js: 6ms, proxy.ts: 7ms, generate-params: 9ms, application-code: 137ms)
 POST /en/sign-up 200 in 86ms (next.js: 6ms, proxy.ts: 6ms, generate-params: 9ms, application-code: 65ms)
 GET /en/teacher/today 200 in 139ms (next.js: 7ms, proxy.ts: 13ms, generate-params: 11ms, application-code: 108ms)
 POST /en/sign-up 200 in 89ms (next.js: 4ms, proxy.ts: 6ms, generate-params: 14ms, application-code: 65ms)
 GET /en/teacher/today 200 in 124ms (next.js: 5ms, proxy.ts: 6ms, generate-params: 10ms, application-code: 104ms)
 POST /en/sign-up 200 in 87ms (next.js: 5ms, proxy.ts: 7ms, generate-params: 9ms, application-code: 66ms)
 GET /en/teacher/today 200 in 144ms (next.js: 6ms, proxy.ts: 14ms, generate-params: 10ms, application-code: 114ms)
 POST /en/sign-up 200 in 86ms (next.js: 6ms, proxy.ts: 5ms, generate-params: 12ms, application-code: 64ms)
 GET /en/teacher/today 200 in 331ms (next.js: 11ms, proxy.ts: 47ms, generate-params: 17ms, application-code: 256ms)
 POST /en/sign-up 200 in 86ms (next.js: 6ms, proxy.ts: 8ms, generate-params: 12ms, application-code: 59ms)
 GET /en/teacher/today 200 in 133ms (next.js: 5ms, proxy.ts: 7ms, generate-params: 8ms, application-code: 113ms)
 POST /en/sign-up 200 in 79ms (next.js: 4ms, proxy.ts: 6ms, generate-params: 10ms, application-code: 58ms)
 GET /en/teacher/today 200 in 158ms (next.js: 6ms, proxy.ts: 14ms, generate-params: 11ms, application-code: 127ms)
 GET /en/teacher/today 200 in 143ms (next.js: 7ms, proxy.ts: 15ms, generate-params: 9ms, application-code: 112ms)
 POST /en/sign-up 200 in 82ms (next.js: 6ms, proxy.ts: 4ms, generate-params: 10ms, application-code: 62ms)
 GET /en/teacher/today 200 in 165ms (next.js: 7ms, proxy.ts: 12ms, generate-params: 14ms, application-code: 131ms)
 POST /en/sign-up 200 in 79ms (next.js: 4ms, proxy.ts: 5ms, generate-params: 10ms, application-code: 60ms)
 POST /en/sign-up 200 in 78ms (next.js: 4ms, proxy.ts: 4ms, generate-params: 9ms, application-code: 61ms)
 GET /en/teacher/today 200 in 246ms (next.js: 10ms, proxy.ts: 15ms, generate-params: 9ms, application-code: 211ms)
 POST /en/sign-up 200 in 84ms (next.js: 6ms, proxy.ts: 8ms, generate-params: 13ms, application-code: 58ms)
 GET /en/teacher/today 200 in 156ms (next.js: 16ms, proxy.ts: 7ms, generate-params: 9ms, application-code: 124ms)
 POST /en/sign-up 200 in 162ms (next.js: 13ms, proxy.ts: 10ms, generate-params: 22ms, application-code: 116ms)
 GET /en/teacher/today 200 in 456ms (next.js: 29ms, proxy.ts: 50ms, generate-params: 22ms, application-code: 356ms)
 POST /en/sign-up 200 in 170ms (next.js: 12ms, proxy.ts: 8ms, generate-params: 16ms, application-code: 134ms)
 GET /en/teacher/today 200 in 288ms (next.js: 11ms, proxy.ts: 15ms, generate-params: 16ms, application-code: 247ms)
 POST /en/sign-up 200 in 166ms (next.js: 17ms, proxy.ts: 25ms, generate-params: 16ms, application-code: 109ms)
 GET /en/teacher/today 200 in 450ms (next.js: 21ms, proxy.ts: 37ms, generate-params: 31ms, application-code: 361ms)
 POST /en/sign-up 200 in 258ms (next.js: 20ms, proxy.ts: 23ms, generate-params: 38ms, application-code: 176ms)
 GET /en/teacher/today 200 in 587ms (next.js: 30ms, proxy.ts: 40ms, generate-params: 43ms, application-code: 473ms)
 POST /en/sign-up 200 in 282ms (next.js: 25ms, proxy.ts: 33ms, generate-params: 25ms, application-code: 200ms)
 GET /en/teacher/today 200 in 432ms (next.js: 23ms, proxy.ts: 43ms, generate-params: 23ms, application-code: 343ms)
 POST /en/sign-up 200 in 87ms (next.js: 6ms, proxy.ts: 5ms, generate-params: 8ms, application-code: 68ms)
 GET /en/teacher/today 200 in 169ms (next.js: 10ms, proxy.ts: 19ms, generate-params: 11ms, application-code: 130ms)
 POST /en/sign-up 200 in 87ms (next.js: 5ms, proxy.ts: 5ms, generate-params: 12ms, application-code: 64ms)
 GET /en/teacher/today 200 in 361ms (next.js: 18ms, proxy.ts: 44ms, generate-params: 23ms, application-code: 276ms)
 POST /en/sign-up 200 in 325ms (next.js: 14ms, proxy.ts: 24ms, generate-params: 35ms, application-code: 252ms)
 GET /en/teacher/today 200 in 360ms (next.js: 17ms, proxy.ts: 32ms, generate-params: 17ms, application-code: 294ms)
 GET /en/teacher/today 200 in 153ms (next.js: 18ms, proxy.ts: 11ms, generate-params: 10ms, application-code: 114ms)
 POST /en/sign-up 200 in 78ms (next.js: 5ms, proxy.ts: 4ms, generate-params: 9ms, application-code: 60ms)
 POST /en/sign-up 200 in 346ms (next.js: 26ms, proxy.ts: 30ms, generate-params: 23ms, application-code: 267ms)
 GET /en/teacher/today 200 in 479ms (next.js: 17ms, proxy.ts: 52ms, generate-params: 20ms, application-code: 390ms)
